ndc,year,headline_count,avg_headline_len
TRAVEL,1995,4714,33.15273652948664
TRAVEL,1996,4964,38.30338436744561
TRAVEL,1997,3768,36.198779193205944
TRAVEL,1998,1461,26.32375085557837
TRAVEL,1999,1339,28.144137415982076
TRAVEL,2000,1402,29.104136947218258
TRAVEL,2001,1720,27.6
TRAVEL,2002,1506,29.03386454183267
TRAVEL,2003,1429,27.12666200139958
TRAVEL,2004,1733,23.980380842469707
TRAVEL,2005,1811,29.46327995582551
TRAVEL,2006,2346,31.749786871270246
TRAVEL,2007,1474,33.55359565807327
TRAVEL,2008,1391,35.28468727534148
TRAVEL,2009,1874,35.98505869797225
TRAVEL,2010,1592,34.51381909547739
TRAVEL,2011,1412,30.18484419263456
TRAVEL,2012,742,32.514824797843666
TRAVEL,2013,654,35.530581039755354
TRAVEL,2014,1076,37.435873605947954
TRAVEL,2015,1209,41.214226633581475
TRAVEL,2016,946,43.22938689217759
TRAVEL,2017,848,45.805424528301884
TRAVEL,2018,790,48.57848101265823
TRAVEL,2019,677,46.76809453471196
TRAVEL,2020,379,49.86807387862797
